 Date,Column1,Team 1,Team 2,Venue,Result
 22nd October 2022,1,Australia , New Zealand,Sydney Cricket Ground,
 22nd October 2022,1,England , Afghanistan,Perth Stadium,
 23rd October 2022,1,Group A Winner , Group B Runner Up,Bellerive Oval,
 23rd October  2022,1,India , Pakistan,Melbourne Cricket Ground,
 24th October 2022,1,Bangladesh , Group A Runner up,Bellerive Oval,
 24th October 2022,1,South Africa , Group B Winner,Bellerive Oval,
 25th October 2022,1,Australia , Group A Winner,Perth Stadium,
 26th October 2022,1,England , Group B Runner UP,Melbourne Cricket Ground,
 26th October 2022,1,New Zealand , Afghanistan,Melbourne Cricket Ground,
 27th October 2022,1,South Africa , Bangladesh,Sydney Cricket Ground,
 27th October 2022,1,India , Group A Runner Up,Sydney Cricket Ground,
 27th October 2022,1,Pakistan , Group B Runner Up,Perth Stadium,
 28th October 2022,1,Afghanistan , Group B Runner UP,Melbourne Cricket Ground,
 28th October 2022,1,England , Australia,Melbourne Cricket Ground,
 29th October 2022,1,New Zealand , Group A Winner,Sydney Cricket Ground,
 30th October 2022,1,Bangladesh , Group B Winner,The Gabba,
 30th October 2022,1,Pakistan , Group A Runner Up,Perth Stadium,
 30th October 2022,1,India , South Africa,Perth Stadium,
 31st October 2022,1,Australia , Group B Runner Up,The Gabba,
 1st November 2022,1,Afghanistan , Group A winner,The Gabba,
 1st November 2022,1,England , New Zealand,The Gabba,
 2nd November 2022,1,Group B winner , Group A Runner Up,Adelaide Oval,
 2nd November 2022,1,India , Bangladesh,Adelaide Oval,
 3rd November 2022,1,Pakistan , South Africa,Sydney Cricket Ground,
 4th November 2022,1,New Zealand , Group B Runner Up,Adelaide Oval,
 4th November 2022,1,Australia , Afghanistan,Adelaide Oval,
 5th November 2022,1,England , Group A Runner Up,Sydney Cricket Ground,
 6th November 2022,1,South Africa , Group A Runner Up,Adelaide Oval,
 6th November 2022,1,Pakistan , Bangladesh,Adelaide Oval,
 6th November 2022,1,India , Group B Winner,Melbourne Cricket Ground,
 9th November 2022,SEMI FINAL 1,To be Announced,To be Announced,Sydney Cricket Ground,
 10th November 2022,SEMI FINAL 2,To be Announced,To be Announced,Adelaide Oval,
 13th November 2022,FINAL,To be Announced,To be Announced,Melbourne Cricket Ground,
